코드,코드명
UBN130,경관보전지구(3등급)
UBN140,경관보전지구(4등급)
UBN150,경관보전지구(5등급)
UBN999,경관보전지구(기타)
UBQ100,혁신도시개발예정지구
ZJ8015,전통경관지구
ZG0003,위험물저장및처리시설제한지구
ZG0004,문화재보존영향 검토대상구역
ZH0001,전통경관지구
ZH0002,조망권경관지구
ZH0003,상업개발촉진지구
ZH0004,공업개발촉진지구
ZH0005,첨단산업개발촉진지구
ZH0006,외국인투자개발촉진지구
ZH0007,레포츠개발촉진지구
ZH0010,보행자우선지구
ZH0011,주거환경보호지구
UQA111,제1종전용주거지역
UQA112,제2종전용주거지역
UQA121,제1종일반주거지역
UQA122,제2종일반주거지역
UQA123,제3종일반주거지역
UMW100,(영산강·섬진강)수변구역
UNB111,전술항공작전기지제1구역
UNB112,전술항공작전기지제2구역
UNB113,전술항공작전기지제3구역
UNB114,전술항공작전기지제4구역
UNB115,전술항공작전기지제5구역
UNB116,전술항공작전기지제6구역
UNB121,지원항공작전기지제1구역
UNB122,지원항공작전기지제2구역
UNB123,지원항공작전기지제3구역
UNB124,지원항공작전기지제4구역
UNB125,지원항공작전기지제5구역
UOE200,전통사찰보존구역
UQA100,주거지역
UQA110,전용주거지역
UQA120,일반주거지역
UQA130,준주거지역
UQA200,상업지역
UOG100,역사문화환경 특별보존지구
UOG200,역사문화환경 보존육성지구
UOH100,문화지구
UOI100,청소년수련지구
UQA001,도시지역
UQB001,관리지역
UQC001,농림지역
UQD001,자연환경보전지역
