시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,lat,lon
수원시,오목천동사거리,Omokcheon-dong Sageori ,201000167,2060,노변정류장,경기도 수원시,경기도 수원시 권선구 오목천동,37.24475,126.96355
수원시,오목천동삼거리.수원여대입구,Omokcheon-dong Samgeori,201000163,2066,노변정류장,경기도 수원시,경기도 수원시 권선구 오목천동,37.2461333,126.9657167
수원시,오목천주공아파트,Omokcheon Jugong Apartment ,201000151,2289,노변정류장,경기도 수원시,경기도 수원시 권선구 오목천동,37.2402833,126.9639167
수원시,오목초교삼거리(경유),,277102800,,,,,37.2473,126.9678333
수원시,오목초등학교,Omok Elementary School ,201000153,2290,노변정류장,경기도 수원시,경기도 수원시 권선구 오목천동,37.2400667,126.9638833
수원시,오페라하우스,Opera House,201000520,,노변정류장,경기도 수원시,,37.2758167,126.9703
수원시,오페라하우스,Opera House,201000521,,노변정류장,경기도 수원시,,37.2756333,126.9704333
수원시,오현초등학교,Ohyun Elementary School,201000326,2835,노변정류장,경기도 수원시,경기도 수원시 권선구 오목천동,37.2455,126.9681667
수원시,오현초등학교,Ohyun Elementary School,201000327,2839,노변정류장,경기도 수원시,경기도 수원시 권선구 오목천동,37.2457667,126.9682167
수원시,온누리교회,Onnuri Church ,200000156,1113,노변정류장,경기도 수원시,경기도 수원시 장안구 송죽동,37.3044333,127.0007333
수원시,온정마을,Onjeong Maeul ,201000487,2974,노변정류장,경기도 수원시,,37.2516,126.96645
수원시,온정마을,Onjeong Maeul ,201000486,2973,노변정류장,경기도 수원시,,37.2513167,126.9662333
수원시,외서천삼거리(경유),,277102588,,,,,37.2471833,127.0724
수원시,용광사앞입구,Yonggwangsa,200000344,1317,노변정류장,경기도 수원시,,37.3108833,126.99765
수원시,용광사앞입구,Yonggwangsa,200000345,1318,노변정류장,경기도 수원시,,37.3108,126.9978833
수원시,용광사주택가,Yonggwangsa Housing Complex ,200000342,1315,노변정류장,경기도 수원시,,37.3103667,126.9997667
수원시,용광사주택가,Yonggwangsa Housing Complex ,200000343,1316,노변정류장,경기도 수원시,,37.3102,126.99975
수원시,용머리다리,Yongmeori Bridge,200000013,1156,노변정류장,경기도 수원시,경기도 수원시 장안구 상광교동,37.3234167,127.0154
수원시,용머리다리,Yongmeori Bridge,200000175,1157,노변정류장,경기도 수원시,경기도 수원시 장안구 상광교동,37.3238667,127.0154167
수원시,용머리앞,Yongmeori,200000176,1160,노변정류장,경기도 수원시,경기도 수원시 장안구 상광교동,37.3212167,127.0155167
수원시,용머리앞,Yongmeori,200000012,1159,노변정류장,경기도 수원시,경기도 수원시 장안구 상광교동,37.3213,127.01545
수원시,용현빌딩,Yonghyeon Building,202000130,3205,노변정류장,경기도 수원시,,37.2701,127.0196667
수원시,우남아파트,Woonam Apartment,203000100,4010,노변정류장,경기도 수원시,경기도 수원시 영통구 매탄동,37.2583,127.04225
수원시,우남아파트,Woonam Apartment ,201000211,2265,노변정류장,경기도 수원시,경기도 수원시 권선구 권선동,37.2477333,127.0331167
